,country,code,year,emission
20479,World,OWID_WRL,1877,699098528
20480,World,OWID_WRL,1878,704565216
20481,World,OWID_WRL,1879,755036816
20482,World,OWID_WRL,1880,853891536
20483,World,OWID_WRL,1881,882587984
20484,World,OWID_WRL,1882,932128928
20485,World,OWID_WRL,1883,991273216
20486,World,OWID_WRL,1884,1002430096
20487,World,OWID_WRL,1885,1009908320
20488,World,OWID_WRL,1886,1025729472
20489,World,OWID_WRL,1887,1077043792
20490,World,OWID_WRL,1888,1192584368
20491,World,OWID_WRL,1889,1192155680
20492,World,OWID_WRL,1890,1298855024
20493,World,OWID_WRL,1891,1359300032
20494,World,OWID_WRL,1892,1370541184
20495,World,OWID_WRL,1893,1354137456
20496,World,OWID_WRL,1894,1401373744
20497,World,OWID_WRL,1895,1485920544
20498,World,OWID_WRL,1896,1534406256
20499,World,OWID_WRL,1897,1607045056
20500,World,OWID_WRL,1898,1695109296
20501,World,OWID_WRL,1899,1851825904
20502,World,OWID_WRL,1900,1953307712
20503,World,OWID_WRL,1901,2017969984
20504,World,OWID_WRL,1902,2069097440
20505,World,OWID_WRL,1903,2257269488
20506,World,OWID_WRL,1904,2281224720
20507,World,OWID_WRL,1905,2428667744
20508,World,OWID_WRL,1906,2550865808
20509,World,OWID_WRL,1907,2884659872
20510,World,OWID_WRL,1908,2775703504
20511,World,OWID_WRL,1909,2885293744
20512,World,OWID_WRL,1910,3026016992
20513,World,OWID_WRL,1911,3081237136
20514,World,OWID_WRL,1912,3226719920
20515,World,OWID_WRL,1913,3491363312
20516,World,OWID_WRL,1914,3168077600
20517,World,OWID_WRL,1915,3125157504
20518,World,OWID_WRL,1916,3372323616
20519,World,OWID_WRL,1917,3528377040
20520,World,OWID_WRL,1918,3480686416
20521,World,OWID_WRL,1919,3016640816
20522,World,OWID_WRL,1920,3507613152
20523,World,OWID_WRL,1921,3077712368
20524,World,OWID_WRL,1922,3227269520
20525,World,OWID_WRL,1923,3661713664
20526,World,OWID_WRL,1924,3673299232
20527,World,OWID_WRL,1925,3699225696
20528,World,OWID_WRL,1926,3641924400
20529,World,OWID_WRL,1927,3977378256
20530,World,OWID_WRL,1928,3991121920
20531,World,OWID_WRL,1929,4290749184
20532,World,OWID_WRL,1930,3965451936
20533,World,OWID_WRL,1931,3542868160
20534,World,OWID_WRL,1932,3196286736
20535,World,OWID_WRL,1933,3365596512
20536,World,OWID_WRL,1934,3661548784
20537,World,OWID_WRL,1935,3846511168
20538,World,OWID_WRL,1936,4223676000
20539,World,OWID_WRL,1937,4522870912
20540,World,OWID_WRL,1938,4264888672
20541,World,OWID_WRL,1939,4503129280
20542,World,OWID_WRL,1940,4904007520
20543,World,OWID_WRL,1941,5024655712
20544,World,OWID_WRL,1942,5039974896
20545,World,OWID_WRL,1943,5216282912
20546,World,OWID_WRL,1944,5181123168
20547,World,OWID_WRL,1945,4333394480
20548,World,OWID_WRL,1946,4730660016
20549,World,OWID_WRL,1947,5236563152
20550,World,OWID_WRL,1948,5505427472
20551,World,OWID_WRL,1949,5244854784
20552,World,OWID_WRL,1950,5786141168
20553,World,OWID_WRL,1951,6226396416
20554,World,OWID_WRL,1952,6310375296
20555,World,OWID_WRL,1953,6486280272
20556,World,OWID_WRL,1954,6629183600
20557,World,OWID_WRL,1955,7258204464
20558,World,OWID_WRL,1956,7725118976
20559,World,OWID_WRL,1957,7964755568
20560,World,OWID_WRL,1958,8215483088
20561,World,OWID_WRL,1959,8989176487
20562,World,OWID_WRL,1960,9410529753
20563,World,OWID_WRL,1961,9452107735
20564,World,OWID_WRL,1962,9838202053
20565,World,OWID_WRL,1963,10379067957
20566,World,OWID_WRL,1964,10969325141
20567,World,OWID_WRL,1965,11466150222
20568,World,OWID_WRL,1966,12045555868
20569,World,OWID_WRL,1967,12431009376
20570,World,OWID_WRL,1968,13063449642
20571,World,OWID_WRL,1969,13846427335
20572,World,OWID_WRL,1970,14845814983
20573,World,OWID_WRL,1971,15409717552
20574,World,OWID_WRL,1972,16023990774
20575,World,OWID_WRL,1973,16893361429
20576,World,OWID_WRL,1974,16923578710
20577,World,OWID_WRL,1975,16825640953
20578,World,OWID_WRL,1976,17800972415
20579,World,OWID_WRL,1977,18355439225
20580,World,OWID_WRL,1978,18561698852
20581,World,OWID_WRL,1979,19594228807
20582,World,OWID_WRL,1980,19388094366
20583,World,OWID_WRL,1981,18787122618
20584,World,OWID_WRL,1982,18624075692
20585,World,OWID_WRL,1983,18549448038
20586,World,OWID_WRL,1984,19216866047
20587,World,OWID_WRL,1985,19792621843
20588,World,OWID_WRL,1986,20395949534
20589,World,OWID_WRL,1987,20912413491
20590,World,OWID_WRL,1988,21681109322
20591,World,OWID_WRL,1989,22154335730
20592,World,OWID_WRL,1990,22181807367
20593,World,OWID_WRL,1991,22429377426
20594,World,OWID_WRL,1992,22195105131
20595,World,OWID_WRL,1993,22153143108
20596,World,OWID_WRL,1994,22533832969
20597,World,OWID_WRL,1995,23007425377
20598,World,OWID_WRL,1996,23522979106
20599,World,OWID_WRL,1997,23915329404
20600,World,OWID_WRL,1998,23984983896
20601,World,OWID_WRL,1999,23930561468
20602,World,OWID_WRL,2000,24558691083
20603,World,OWID_WRL,2001,25137999688
20604,World,OWID_WRL,2002,25494190555
20605,World,OWID_WRL,2003,26866738381
20606,World,OWID_WRL,2004,28187598935
20607,World,OWID_WRL,2005,29254906351
20608,World,OWID_WRL,2006,30286836386
20609,World,OWID_WRL,2007,30880145296
20610,World,OWID_WRL,2008,31875755797
20611,World,OWID_WRL,2009,31523142973
20612,World,OWID_WRL,2010,33066651212
20613,World,OWID_WRL,2011,34357365920
20614,World,OWID_WRL,2012,34919288710
20615,World,OWID_WRL,2013,35207885978
20616,World,OWID_WRL,2014,35505827039
20617,World,OWID_WRL,2015,35462746737
20618,World,OWID_WRL,2016,35675099439
20619,World,OWID_WRL,2017,36153261645
